Catégorie,Sous-catégorie,Composant,Unité de mesure,Coût unitaire min (€),Coût unitaire médian (€),Coût unitaire max (€),Devise,Fréquence,Notes / Hypothèses,Source / Référence,Date de mise à jour
CLOUD AWS,Compute,EC2 t3.medium (2 vCPU / 4 Go RAM),Instance/mois,25,35,45,EUR,Mensuel,On-demand pricing EU (Paris). Réservé 1 an ~40% moins cher,AWS Public Pricing,2025-01
CLOUD AWS,Compute,EC2 m5.xlarge (4 vCPU / 16 Go RAM),Instance/mois,110,140,170,EUR,Mensuel,On-demand pricing EU (Paris),AWS Public Pricing,2025-01
CLOUD AWS,Compute,EC2 m5.4xlarge (16 vCPU / 64 Go RAM),Instance/mois,420,520,620,EUR,Mensuel,On-demand pricing EU (Paris),AWS Public Pricing,2025-01
CLOUD AWS,Compute,EC2 r5.2xlarge (8 vCPU / 64 Go RAM) - Memory Optimized,Instance/mois,280,360,440,EUR,Mensuel,Workloads base de données / SAP,AWS Public Pricing,2025-01
CLOUD AWS,Stockage,S3 Standard,Go/mois,0.021,0.023,0.025,EUR,Mensuel,Par Go stocké. Prix dégressif >50 To,AWS Public Pricing,2025-01
CLOUD AWS,Stockage,EBS gp3 (SSD),Go/mois,0.07,0.08,0.09,EUR,Mensuel,Volume bloc attaché EC2,AWS Public Pricing,2025-01
CLOUD AWS,Stockage,EBS io1 (SSD haute perf),Go/mois,0.11,0.125,0.14,EUR,Mensuel,IOPS provisionnées pour DB critiques,AWS Public Pricing,2025-01
CLOUD AWS,Réseau,Data Transfer OUT (Internet),Go/mois,0.07,0.085,0.09,EUR,Mensuel,Premiers 10 To/mois. Gratuit intra-région,AWS Public Pricing,2025-01
CLOUD AWS,Base de données,RDS MySQL / PostgreSQL db.t3.medium,Instance/mois,55,70,85,EUR,Mensuel,Multi-AZ x2. Licence incluse,AWS Public Pricing,2025-01
CLOUD AWS,Base de données,RDS Oracle SE2 db.m5.xlarge,Instance/mois,800,1100,1400,EUR,Mensuel,Licence Oracle incluse (BYOL ~30% moins),AWS Public Pricing,2025-01
CLOUD AWS,Gestion / Support,AWS Business Support,% dépenses/mois,3%,5%,7%,EUR,Mensuel,Min 100$/mois. Taux dégressif,AWS Public Pricing,2025-01
CLOUD AZURE,Compute,B2s (2 vCPU / 4 Go RAM),Instance/mois,30,38,46,EUR,Mensuel,On-demand. Région France Central,Azure Public Pricing,2025-01
